consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Química	Outros	Físico-Química	2019	"Catálise;Físico-Química;Química de Materiais;Química Inorgânica"	Minas Gerais (MG)	Nenhum	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Maranhão (MA)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Antes de iniciar a pós-graduação	Sim, fui contemplado com licença durante um período da pós-graduação	Não fiz pós-doutorado	Universidade federal	Fundações de amparo à pesquisa dos estados (FAPs)	Parcialmente insatisfeito	Sim	Sim, de Ensino Superior	Acima de 6	9/mai	4/jan	4/jan	Nenhuma	Nenhuma	Nenhuma	Prefiro não responder	Parcialmente	Não	Prefiro não responder	"Presencial;Webpage"	"No setor público, como professor de Ensino Superior e Pesquisador;Não decidido"	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Conduta ética na pesquisa;Produtividade pessoal"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	Maranhão (MA)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Outros	Outros	2015	"Alimentos e Bebidas;Produtos Naturais;Química Medicinal;Outros"	São Paulo (SP)	Nenhum	Não	Sim, com carteira assinada	Sim, no doutorado	De 6 a 12 meses	Sim, sou associado	Sergipe (SE)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade estadual	Não realizei pós-doutorado	Completamente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	Acima de 13	Nenhum	Sem financiamento	1												20-24	9/mai	4/jan	4/jan	9/mai	Nenhuma	11/ago	Parcialmente	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos"	Acima de 40	"Português;Inglês;Espanhol"	Casado(a)	Não	Goiás (GO)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Outros	2014	"Produtos Naturais;Outros"	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 6 a 12 meses	Sim, sou associado	Piauí (PI)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	"CAPES;CNPq"	Parcialmente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos"	7/mai	4/fev	"Fundações de amparo à pesquisa dos estados (FAPs);Sem financiamento"	Nenhum												25-29	15-19	4/jan	4/jan	Nenhuma	2/jan	7/abr	Não	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail"	No setor público, como professor de Ensino Superior	Insatisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa"	"Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial"	Acima de 40	Inglês	Casado(a)	Não	Piauí (PI)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Analítica	2014	"Catálise;Química Orgânica;Outros"	Rio Grande do Sul (RS)	Nenhum	Sim, de 6 a 12 meses	Não	Não	Nenhum	Sim, sou associado	Rio Grande do Sul (RS)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade federal	Não realizei pós-doutorado	Completamente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos"	5/mar	2/jan	Não se aplica	Nenhum												14/out	Nenhuma	4/jan	Nenhuma	Nenhuma	Nenhuma	7/abr	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;Instagram;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Rede de contatos"	"Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Produtividade pessoal"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, um filho	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2016	"Físico-Química;Química de Materiais;Outros"	Rio Grande do Sul (RS)	Sim, dois pós doutorados	Não	Não	Sim, no doutorado	Acima de 24 meses	Já fui associado (estou inativo)	Rio Grande do Sul (RS)	Professor Universitário (Setor Público)											24-36 meses	Universidade federal	"CAPES;Financiamento do exterior/estrangeiro"	Parcialmente Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	3/jan	2/jan	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Nenhum												15-19	9/mai	9/mai	4/jan	14/out	Nenhuma	11/ago	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês;Espanhol"	Casado(a)	Sim, três filhos	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2012	Química Analítica	Rio Grande do Sul (RS)	Sim, um pós-doutorado	Não	Sim, com carteira assinada	Sim, no doutorado e pós-doutorado	De 6 a 12 meses	Sim, sou associado	Rio Grande do Sul (RS)	Professor Universitário (Setor Público)											0-12 meses	Universidades estrangeiras	Financiamento do exterior/estrangeiro	Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	Acima de 13	6/abr	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Nenhum												Acima de 35	30-35	9/mai	14/out	14/out	6/mai	24-30	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	E-mail	No setor público, como professor de Ensino Superior	Satisfeito	Não	"Escrita de artigos científicos;Gerenciamento de projetos;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Produtividade pessoal;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Analítica	2018	Eletroquímica e Eletroanalítica	Rio Grande do Norte (RN)	Nenhum	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Rio Grande do Norte (RN)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Após a pós-graduação	Prefiro não responder	Não fiz pós-doutorado	Universidade federal	"CAPES;CNPq"	Parcialmente satisfeito	Sim	Não	Nenhum	4/jan	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	7/abr	Sim	Sim	Sim, em algumas das minhas publicações	Presencial	No setor público, como professor da rede de Ensino Fundamental e Médio	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Conduta ética na pesquisa;Equidade e diversidade"	"Rede de contatos;Outros"	Acima de 40	Espanhol	Divorciado(a)	Não	Paraná (PR)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Ensino em Química	Ciências - Química	2021	"Eletroquímica e Eletroanalítica;Química Ambiental"	Rio Grande do Norte (RN)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Sim, sou associado	Rio Grande do Norte (RN)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Antes de iniciar a pós-graduação	Sim, fui contemplado com licença durante um período da pós-graduação	Não fiz pós-doutorado	Universidade federal	CAPES	Satisfeito	Não	Não	Nenhum	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	2/jan	Prefiro não responder	Não se aplica	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	"No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador"	Parcialmente satisfeito	Não	Escrita de artigos científicos	"Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	Acima de 40	"Português;Espanhol"	Coabito(a)	Não	Rio Grande do Norte (RN)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Inorgânica	2016	Química Analítica	Rio Grande do Norte (RN)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Não	Rio Grande do Norte (RN)	Funcionário público mas não pesquisador/professor																															Prefiro não responder	Prefiro não responder	Prefiro não responder	Prefiro não responder	Prefiro não responder	Nenhuma	Prefiro não responder	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail"	No setor público, como Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa"	Acima de 40	"Português;Espanhol"	Casado(a)	Não	Rio Grande do Norte (RN)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2013	Catálise	Santa Catarina (SC)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 12 a 18 meses	Não	Paraná (PR)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	CAPES	Completamente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos"	Acima de 13	2/jan	CNPq	1												14/out	4/jan	4/jan	4/jan	4/jan	Nenhuma	11/ago	Não	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Rede de contatos;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Pesquisa interdisciplinar;Rede de contatos"	Acima de 40	"Português;Inglês;Francês"	Coabito(a)	Sim, um filho	Santa Catarina (SC)	Homem cisgênero	Prefiro não me classificar	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2012	"Química de Materiais;Química Orgânica"	Santa Catarina (SC)	Sim, dois pós doutorados	Não	Não	Não	Até 6 meses	Sim, sou associado	Santa Catarina (SC)	Professor Universitário (Setor Público)											12-24 meses	"Universidade federal;Universidade/Faculdade privada"	"CAPES;Outras"	Completamente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, pós-doutorandos"	Acima de 13	4/fev	"Fundações de amparo à pesquisa dos estados (FAPs);Parcerias com o Setor Privado;Outras"	1												Acima de 35	20-24	Prefiro não responder	Prefiro não responder	Nenhuma	10/set	15/dez	Sim	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Instagram;Webpage;Youtube;Webinários;Seminários"	"No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador;Empreendedor"	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Transferência de conhecimento, inovação e empreendedorismo"	Acima de 40	Português	Casado(a)	Sim, dois filhos	Santa Catarina (SC)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2014	"Eletroquímica e Eletroanalítica;Ensino/Educação em Química;Química Analítica"	Rio de Janeiro (RJ)	Sim, dois pós doutorados	Não	Prefiro não responder	Não	Nenhum	Sim, sou associado	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											24-36 meses	"Universidade federal;Universidade/Faculdade privada"	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Satisfeito	Sim, pós-doutorandos	3/jan	6/abr	"CNPq;Fundações públicas universitárias;Fundações de amparo à pesquisa dos estados (FAPs)"	1												25-29	14/out	9/mai	9/mai	4/jan	Nenhuma	15/dez	Sim	Prefiro não responder	Prefiro não responder	"Presencial;Telefone;E-mail"	No setor público, como professor de Ensino Superior e Pesquisador	Completamente Satisfeito	Não	"Ensino/Lecionar;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Produtividade pessoal"	Acima de 40	"Português;Inglês"	Casado(a)	Não	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Físico-Química	2015	Alimentos e Bebidas	Minas Gerais (MG)	Sim, um pós-doutorado	Sim, acima de 12 meses	Não	Sim, no pós-doutorado	De 6 a 12 meses	Sim, sou associado	Minas Gerais (MG)	Professor Universitário (Setor Público)											0-12 meses	"Universidade federal;Universidades estrangeiras"	"CAPES;Sem remuneração;Outras"	Parcialmente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	Acima de 13	Acima de 10	"CAPES;CNPq;Financiamento do exterior/estrangeiro;Fundações de amparo à pesquisa dos estados (FAPs);Parcerias com o Setor Privado"	Acima de 5												Acima de 35	30-35	14/out	14/out	14/out	2/jan	15/dez	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"WhatsApp;Instagram;Webpage"	No setor privado, como pesquisador	Satisfeito	Não	Escrita de artigos científicos	"Escrita de artigos científicos;Gerenciamento de projetos;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial"	Acima de 40	Português	Casado(a)	Sim, dois filhos	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2015	"Catálise;Físico-Química;Química de Materiais;Outros"	Minas Gerais (MG)	Sim, acima de três pós-doutorados	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Minas Gerais (MG)	Pós-doutorando (Setor Privado)	Acima de 48 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	"Universidade federal;Empresas privadas"	"CNPq;Parcerias com o setor privado;Sem remunaração;Outras"	Sim, mestrandos	Acima de 6	"Sim, como assistente/monitor de disciplina (estágio docência);Sim, em outra função"	Satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Flexibilidade no contrato de trabalho (trabalhar fora do projeto de pesquisa/ensino);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social"																					9/mai	4/jan	4/jan	4/jan	4/jan	Nenhuma	0-3	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;E-mail;WhatsApp;Webinários;Seminários;Outro"	No setor privado, como pesquisador	Parcialmente satisfeito	Sim, fora da academia	"Gerenciamento de projetos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Produtividade pessoal;Comunicação e divulgação científica"	39-40	Português	Casado(a)	Sim, dois filhos	Minas Gerais (MG)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2015	"Alimentos e Bebidas;Química Analítica;Química de Materiais"	Paraíba (PB)	Sim, três pós-doutorados	Não	Não	Não	Nenhum	Sim, sou associado	Bahia (BA)	Professor Universitário (Setor Público)											Acima de 48 meses	Universidade federal	"CAPES;CNPq"	Parcialmente Satisfeito	Sim, aluno de iniciação científica	3/jan	Nenhum	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Nenhum												15-19	9/mai	9/mai	Nenhuma	4/jan	Nenhuma	11/ago	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior	Nem satisfeito, nem insatisfeito	Não	"Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos"	"Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial"	Acima de 40	Português	Solteiro(a)	Não	Paraíba (PB)	Homem cisgênero	Pardo(a)	Não
